Row ID,Order ID,Order Date,Dispatch Date,Delivery Mode,Customer ID,Customer Name,Segment,City,State/Province,Country/Region,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
23,IT-2022-3245851,5/2/2022,5/5/2022,Second Class,LB-16795,Laurel Beltran,Home Office,Milan,Lombardy,Italy,South,OFF-ST-10002271,Office Supplies,Storage,"Rogers Shelving, Wire Frame",36.72,1,0.4,-5.52
24,IT-2022-3245851,5/2/2022,5/5/2022,Second Class,LB-16795,Laurel Beltran,Home Office,Milan,Lombardy,Italy,South,TEC-AC-10002901,Technology,Accessories,"Memorex Mouse, Bluetooth",28.17,1,0,1.11
60,ES-2021-4569090,8/29/2021,9/3/2021,Standard Class,GA-14725,Guy Armstrong,Consumer,Rome,Lazio,Italy,South,OFF-AR-10000316,Office Supplies,Art,"Stanley Pens, Blue",30.15,3,0,14.76
61,ES-2021-4569090,8/29/2021,9/3/2021,Standard Class,GA-14725,Guy Armstrong,Consumer,Rome,Lazio,Italy,South,TEC-MA-10002844,Technology,Machines,"Okidata Receipt Printer, White",145.584,2,0.4,-82.536
62,ES-2021-4569090,8/29/2021,9/3/2021,Standard Class,GA-14725,Guy Armstrong,Consumer,Rome,Lazio,Italy,South,OFF-LA-10003591,Office Supplies,Labels,"Smead Removable Labels, Laser Printer Compatible",20.64,2,0,6.36
63,ES-2021-4569090,8/29/2021,9/3/2021,Standard Class,GA-14725,Guy Armstrong,Consumer,Rome,Lazio,Italy,South,OFF-FA-10001680,Office Supplies,Fasteners,"OIC Push Pins, Metal",15.03,1,0,6
64,ES-2021-4569090,8/29/2021,9/3/2021,Standard Class,GA-14725,Guy Armstrong,Consumer,Rome,Lazio,Italy,South,OFF-ST-10001255,Office Supplies,Storage,"Fellowes Trays, Single Width",275.616,8,0.4,45.936
127,ES-2022-3484812,10/24/2022,10/26/2022,First Class,GT-14755,Guy Thornton,Consumer,Cesena,Emilia-Romagna,Italy,South,OFF-PA-10000878,Office Supplies,Paper,"SanDisk Note Cards, Multicolor",67.92,2,0,28.5
128,ES-2022-3484812,10/24/2022,10/26/2022,First Class,GT-14755,Guy Thornton,Consumer,Cesena,Emilia-Romagna,Italy,South,OFF-ST-10002720,Office Supplies,Storage,"Rogers Shelving, Blue",74.556,2,0.4,-43.524
129,ES-2022-3484812,10/24/2022,10/26/2022,First Class,GT-14755,Guy Thornton,Consumer,Cesena,Emilia-Romagna,Italy,South,OFF-BI-10000440,Office Supplies,Binders,"Acco Index Tab, Economy",20.16,2,0,9.24
133,ES-2020-5757351,4/5/2020,4/5/2020,Same Day,AW-10840,Anthony Witt,Consumer,Marano di Napoli,Campania,Italy,South,OFF-PA-10001466,Office Supplies,Paper,"Eaton Computer Printout Paper, 8.5 x 11",122.76,4,0,56.4
219,ES-2022-3850519,2/23/2022,2/27/2022,Standard Class,LC-16960,Lindsay Castell,Home Office,Rome,Lazio,Italy,South,OFF-ST-10001646,Office Supplies,Storage,"Fellowes Box, Wire Frame",112.5,10,0.4,11.1
229,IT-2020-2956829,11/18/2020,11/22/2020,Standard Class,TB-21250,Tim Brockman,Consumer,Bisceglie,Apulia,Italy,South,FUR-CH-10002927,Furniture,Chairs,"Office Star Swivel Stool, Black",343.02,5,0.6,-223.08
270,ES-2021-1667528,12/3/2021,12/3/2021,Same Day,LB-16735,Larry Blacks,Consumer,Moncalieri,Piedmont,Italy,South,OFF-EN-10003936,Office Supplies,Envelopes,"Cameo Peel and Seal, with clear poly window",49.08,2,0,21.54
